"","Sex","Age","Fare","Survived","sex","sex_fare"
"1","male",22,7.25,0,1,7.25
"2","female",38,71.2833,1,0,0
"3","female",26,7.925,1,0,0
"4","female",35,53.1,1,0,0
"5","male",35,8.05,0,1,8.05
"7","male",54,51.8625,0,1,51.8625
"8","male",2,21.075,0,1,21.075
"9","female",27,11.1333,1,0,0
"10","female",14,30.0708,1,0,0
"11","female",4,16.7,1,0,0
"12","female",58,26.55,1,0,0
"13","male",20,8.05,0,1,8.05
"14","male",39,31.275,0,1,31.275
"15","female",14,7.8542,0,0,0
"16","female",55,16,1,0,0
"17","male",2,29.125,0,1,29.125
"19","female",31,18,0,0,0
"21","male",35,26,0,1,26
"22","male",34,13,1,1,13
"23","female",15,8.0292,1,0,0
"24","male",28,35.5,1,1,35.5
"25","female",8,21.075,0,0,0
"26","female",38,31.3875,1,0,0
"28","male",19,263,0,1,263
"31","male",40,27.7208,0,1,27.7208
"34","male",66,10.5,0,1,10.5
"35","male",28,82.1708,0,1,82.1708
"36","male",42,52,0,1,52
"38","male",21,8.05,0,1,8.05
"39","female",18,18,0,0,0
"40","female",14,11.2417,1,0,0
"41","female",40,9.475,0,0,0
"42","female",27,21,0,0,0
"44","female",3,41.5792,1,0,0
"45","female",19,7.8792,1,0,0
"50","female",18,17.8,0,0,0
"51","male",7,39.6875,0,1,39.6875
"52","male",21,7.8,0,1,7.8
"53","female",49,76.7292,1,0,0
"54","female",29,26,1,0,0
"55","male",65,61.9792,0,1,61.9792
"57","female",21,10.5,1,0,0
"58","male",28.5,7.2292,0,1,7.2292
"59","female",5,27.75,1,0,0
"60","male",11,46.9,0,1,46.9
"61","male",22,7.2292,0,1,7.2292
"62","female",38,80,1,0,0
"63","male",45,83.475,0,1,83.475
"64","male",4,27.9,0,1,27.9
"67","female",29,10.5,1,0,0
"68","male",19,8.1583,0,1,8.1583
"69","female",17,7.925,1,0,0
"70","male",26,8.6625,0,1,8.6625
"71","male",32,10.5,0,1,10.5
"72","female",16,46.9,0,0,0
"73","male",21,73.5,0,1,73.5
"74","male",26,14.4542,0,1,14.4542
"75","male",32,56.4958,1,1,56.4958
"76","male",25,7.65,0,1,7.65
"79","male",0.83,29,1,1,29
"80","female",30,12.475,1,0,0
"81","male",22,9,0,1,9
"82","male",29,9.5,1,1,9.5
"84","male",28,47.1,0,1,47.1
"85","female",17,10.5,1,0,0
"86","female",33,15.85,1,0,0
"87","male",16,34.375,0,1,34.375
"89","female",23,263,1,0,0
"90","male",24,8.05,0,1,8.05
"91","male",29,8.05,0,1,8.05
"92","male",20,7.8542,0,1,7.8542
"93","male",46,61.175,0,1,61.175
"94","male",26,20.575,0,1,20.575
"95","male",59,7.25,0,1,7.25
"97","male",71,34.6542,0,1,34.6542
"98","male",23,63.3583,1,1,63.3583
"99","female",34,23,1,0,0
"100","male",34,26,0,1,26
"101","female",28,7.8958,0,0,0
"103","male",21,77.2875,0,1,77.2875
"104","male",33,8.6542,0,1,8.6542
"105","male",37,7.925,0,1,7.925
"106","male",28,7.8958,0,1,7.8958
"107","female",21,7.65,1,0,0
"109","male",38,7.8958,0,1,7.8958
"111","male",47,52,0,1,52
"112","female",14.5,14.4542,0,0,0
"113","male",22,8.05,0,1,8.05
"114","female",20,9.825,0,0,0
"115","female",17,14.4583,0,0,0
"116","male",21,7.925,0,1,7.925
"117","male",70.5,7.75,0,1,7.75
"118","male",29,21,0,1,21
"119","male",24,247.5208,0,1,247.5208
"120","female",2,31.275,0,0,0
"121","male",21,73.5,0,1,73.5
"123","male",32.5,30.0708,0,1,30.0708
"124","female",32.5,13,1,0,0
"125","male",54,77.2875,0,1,77.2875
"126","male",12,11.2417,1,1,11.2417
"128","male",24,7.1417,1,1,7.1417
"130","male",45,6.975,0,1,6.975
"131","male",33,7.8958,0,1,7.8958
"132","male",20,7.05,0,1,7.05
"133","female",47,14.5,0,0,0
"134","female",29,26,1,0,0
"135","male",25,13,0,1,13
"136","male",23,15.0458,0,1,15.0458
"137","female",19,26.2833,1,0,0
"138","male",37,53.1,0,1,53.1
"139","male",16,9.2167,0,1,9.2167
"140","male",24,79.2,0,1,79.2
"142","female",22,7.75,1,0,0
"143","female",24,15.85,1,0,0
"144","male",19,6.75,0,1,6.75
"145","male",18,11.5,0,1,11.5
"146","male",19,36.75,0,1,36.75
"147","male",27,7.7958,1,1,7.7958
"148","female",9,34.375,0,0,0
"149","male",36.5,26,0,1,26
"150","male",42,13,0,1,13
"151","male",51,12.525,0,1,12.525
"152","female",22,66.6,1,0,0
"153","male",55.5,8.05,0,1,8.05
"154","male",40.5,14.5,0,1,14.5
"156","male",51,61.3792,0,1,61.3792
"157","female",16,7.7333,1,0,0
"158","male",30,8.05,0,1,8.05
"161","male",44,16.1,0,1,16.1
"162","female",40,15.75,1,0,0
"163","male",26,7.775,0,1,7.775
"164","male",17,8.6625,0,1,8.6625
"165","male",1,39.6875,0,1,39.6875
"166","male",9,20.525,1,1,20.525
"168","female",45,27.9,0,0,0
"170","male",28,56.4958,0,1,56.4958
"171","male",61,33.5,0,1,33.5
"172","male",4,29.125,0,1,29.125
"173","female",1,11.1333,1,0,0
"174","male",21,7.925,0,1,7.925
"175","male",56,30.6958,0,1,30.6958
"176","male",18,7.8542,0,1,7.8542
"178","female",50,28.7125,0,0,0
"179","male",30,13,0,1,13
"180","male",36,0,0,1,0
"183","male",9,31.3875,0,1,31.3875
"184","male",1,39,1,1,39
"185","female",4,22.025,1,0,0
"188","male",45,26.55,1,1,26.55
"189","male",40,15.5,0,1,15.5
"190","male",36,7.8958,0,1,7.8958
"191","female",32,13,1,0,0
"192","male",19,13,0,1,13
"193","female",19,7.8542,1,0,0
"194","male",3,26,1,1,26
"195","female",44,27.7208,1,0,0
"196","female",58,146.5208,1,0,0
"198","male",42,8.4042,0,1,8.4042
"200","female",24,13,0,0,0
"201","male",28,9.5,0,1,9.5
"203","male",34,6.4958,0,1,6.4958
"204","male",45.5,7.225,0,1,7.225
"205","male",18,8.05,1,1,8.05
"206","female",2,10.4625,0,0,0
"207","male",32,15.85,0,1,15.85
"208","male",26,18.7875,1,1,18.7875
"209","female",16,7.75,1,0,0
"210","male",40,31,1,1,31
"211","male",24,7.05,0,1,7.05
"212","female",35,21,1,0,0
"213","male",22,7.25,0,1,7.25
"214","male",30,13,0,1,13
"216","female",31,113.275,1,0,0
"217","female",27,7.925,1,0,0
"218","male",42,27,0,1,27
"219","female",32,76.2917,1,0,0
"220","male",30,10.5,0,1,10.5
"221","male",16,8.05,1,1,8.05
"222","male",27,13,0,1,13
"223","male",51,8.05,0,1,8.05
"225","male",38,90,1,1,90
"226","male",22,9.35,0,1,9.35
"227","male",19,10.5,1,1,10.5
"228","male",20.5,7.25,0,1,7.25
"229","male",18,13,0,1,13
"231","female",35,83.475,1,0,0
"232","male",29,7.775,0,1,7.775
"233","male",59,13.5,0,1,13.5
"234","female",5,31.3875,1,0,0
"235","male",24,10.5,0,1,10.5
"237","male",44,26,0,1,26
"238","female",8,26.25,1,0,0
"239","male",19,10.5,0,1,10.5
"240","male",33,12.275,0,1,12.275
"243","male",29,10.5,0,1,10.5
"244","male",22,7.125,0,1,7.125
"245","male",30,7.225,0,1,7.225
"246","male",44,90,0,1,90
"247","female",25,7.775,0,0,0
"248","female",24,14.5,1,0,0
"249","male",37,52.5542,1,1,52.5542
"250","male",54,26,0,1,26
"252","female",29,10.4625,0,0,0
"253","male",62,26.55,0,1,26.55
"254","male",30,16.1,0,1,16.1
"255","female",41,20.2125,0,0,0
"256","female",29,15.2458,1,0,0
"258","female",30,86.5,1,0,0
"259","female",35,512.3292,1,0,0
"260","female",50,26,1,0,0
"262","male",3,31.3875,1,1,31.3875
