"","Sale_Price","Lot_Area","Age","Total_Bsmt_SF","Garage_Area","Gr_Liv_Area","Central_Air"
"1",232600,11216,0,1489,776,1489,"Y"
"2",166000,2998,6,756,440,1524,"Y"
"3",170000,17871,12,1680,628,1680,"Y"
"4",252000,10574,4,1082,1043,1953,"Y"
"5",134000,6000,71,608,240,1132,"Y"
"6",164700,4251,1,625,528,1250,"Y"
"7",193500,8125,14,1408,575,1679,"Y"
"8",118500,8480,61,832,336,1216,"Y"
"9",94000,7200,57,876,576,876,"Y"
"10",111250,12735,36,864,576,864,"Y"
"11",106000,10800,89,720,576,846,"N"
"12",116000,4400,86,648,440,1118,"Y"
"13",160000,9556,15,1168,420,1187,"Y"
"14",239799,8760,0,1391,868,1962,"Y"
"15",355000,13543,3,1168,683,2500,"Y"
"16",264132,14587,0,1498,592,1506,"Y"
"17",126000,10125,32,0,539,1734,"Y"
"18",377500,14892,3,1746,758,1746,"Y"
"19",215000,20544,22,791,542,2093,"Y"
"20",113000,6120,68,884,240,884,"Y"
"21",157500,13014,30,1008,484,1096,"Y"
"22",209000,9116,5,1491,490,1491,"Y"
"23",211000,10029,19,1151,521,2060,"Y"
"24",172000,12700,42,1246,441,1246,"Y"
"25",163000,14330,33,864,440,1558,"Y"
"26",133000,4058,9,723,367,767,"Y"
"27",249000,8251,2,1494,672,1506,"Y"
"28",107500,10632,93,689,180,1224,"N"
"29",244000,13651,34,2223,516,2223,"Y"
"30",178000,9600,81,728,546,1641,"Y"
"31",110000,9750,47,980,400,980,"Y"
"32",147000,11382,43,1130,286,1374,"Y"
"33",82500,11900,32,1386,544,1411,"Y"
"34",335000,26178,17,1210,628,2519,"Y"
"35",172900,2280,9,744,440,1549,"Y"
"36",159000,13300,50,1015,896,1384,"Y"
"37",124400,9759,40,1051,264,1051,"Y"
"38",303477,9000,0,1184,550,2610,"Y"
"39",117000,10998,68,984,660,1604,"Y"
"40",162500,8723,38,973,480,1082,"Y"
"41",140000,4043,31,1069,440,1069,"Y"
"42",246000,3811,6,1594,525,1646,"Y"
"43",130000,12774,55,984,400,950,"N"
"44",160000,10000,48,1116,440,1116,"Y"
"45",136000,10773,43,1832,0,1832,"N"
"46",129500,9600,91,735,396,2058,"N"
"47",141000,7945,47,1150,300,1150,"Y"
"48",139500,14217,13,1022,747,1022,"Y"
"49",163000,9600,40,1288,502,1336,"Y"
"50",152500,17979,40,1113,257,1160,"Y"
"51",136000,8050,51,1143,308,1143,"Y"
"52",143000,9000,89,650,324,1482,"Y"
"53",109000,7922,57,1057,246,1057,"Y"
"54",257500,10452,69,1528,312,2133,"Y"
"55",144000,10044,42,1196,336,1196,"Y"
"56",145900,8777,108,1272,0,2200,"Y"
"57",220000,12182,5,1541,532,1541,"Y"
"58",175900,7153,14,761,484,1603,"Y"
"59",134900,8982,30,1040,748,1040,"Y"
"60",220000,11896,2,1336,660,1346,"Y"
"61",145250,11600,46,1383,292,1383,"Y"
"62",119900,16133,37,1176,360,1176,"Y"
"63",197000,8726,4,872,529,1909,"Y"
"64",262000,12461,12,1624,757,1624,"Y"
"65",108000,7741,82,1032,280,1032,"N"
"66",150000,24572,31,994,864,2944,"Y"
"67",179900,9928,94,672,216,1944,"Y"
"68",215000,16635,32,1602,529,1602,"Y"
"69",131000,20000,46,1224,576,1224,"Y"
"70",202500,13200,44,741,658,2294,"Y"
"71",80000,11515,49,0,308,943,"N"
"72",210000,9000,1,768,676,1590,"Y"
"73",180400,8402,12,789,393,1465,"Y"
"74",240000,53107,15,1580,501,1953,"Y"
"75",99500,4330,49,808,436,1315,"Y"
"76",142100,8250,44,1053,692,1053,"Y"
"77",149000,6876,82,720,316,1930,"Y"
"78",423000,20896,1,2077,1134,2097,"Y"
"79",109500,6130,84,784,0,784,"Y"
"80",232000,11957,2,1574,824,1574,"Y"
"81",188000,8000,13,773,431,1658,"Y"
"82",139500,12778,54,1008,280,1008,"Y"
"83",145000,34650,51,1056,572,1056,"N"
"84",147000,10970,30,940,576,1026,"Y"
"85",143500,8010,51,951,480,951,"Y"
"86",118500,9825,40,936,384,936,"Y"
"87",192500,12774,5,835,478,1663,"Y"
"88",190000,9587,3,856,400,1166,"Y"
"89",96000,8050,61,0,0,1137,"Y"
"90",136000,7942,54,1040,293,1040,"Y"
"91",82000,6040,53,0,0,1152,"N"
"92",195500,10125,5,846,434,1594,"Y"
"93",207000,8883,19,929,619,1873,"Y"
"94",114500,10150,49,912,275,912,"Y"
"95",136905,11500,31,1680,528,1680,"Y"
"96",271000,10944,14,1223,525,2127,"Y"
"97",134800,7200,59,900,576,900,"Y"
"98",370967,8232,1,1800,944,1800,"Y"
"99",108959,12900,39,1198,400,1258,"Y"
"100",129900,4224,31,1040,572,1060,"Y"
"101",177500,8970,44,744,549,2140,"Y"
"102",144000,2179,30,855,460,1456,"Y"
"103",235000,9100,6,1525,541,1525,"Y"
"104",142125,9717,60,1078,240,1078,"Y"
"105",231713,8368,1,1689,433,1689,"Y"
"106",133500,10800,60,832,384,1461,"Y"
"107",135000,9000,107,680,576,1174,"Y"
"108",158500,14000,59,1092,300,1152,"Y"
"109",75190,1890,31,546,286,1092,"Y"
"110",195000,8935,7,831,493,1660,"Y"
"111",165500,9101,31,1097,602,1110,"Y"
"112",167000,9600,56,1416,418,1644,"Y"
"113",135000,10152,51,1048,286,1048,"Y"
"114",170000,9434,5,384,400,1374,"Y"
"115",133900,7200,97,1214,506,2291,"N"
"116",122500,10895,55,972,305,972,"Y"
"117",149500,7844,28,672,440,1400,"Y"
"118",591587,51974,1,2660,1110,2338,"Y"
"119",139000,5362,97,661,552,1250,"Y"
"120",141500,6720,86,585,228,1436,"N"
"121",142500,13072,1,1141,484,1141,"Y"
"122",180000,11361,32,1193,478,1523,"Y"
"123",166500,11875,11,1344,686,1344,"Y"
"124",135000,11606,38,1040,504,2080,"Y"
"125",139000,10180,40,912,372,1044,"Y"
"126",260000,8847,2,1538,484,1538,"Y"
"127",120000,10320,93,880,400,1308,"Y"
"128",149000,7669,17,828,698,883,"Y"
"129",136500,11100,56,1080,253,1480,"N"
"130",143000,14115,16,796,480,1362,"Y"
